"","field","value"
"1","<811>","0"
"2","<812>","0"
"3","<813>","0"
"4","<814>","0"
"5","<821>","0"
"6","<822>","0"
"7","<823>","0"
"8","<824>","0"
"9","<852>","3"
"10","<854>","3"
"11","<861>","0"
"12","<863>","0"
"13","<992>","0.17"
"14","<994>","0.17"
"15","<A11>","0"
"16","<A12>","0"
"17","<A13>","0"
"18","<A14>","0"
"19","<A21>","0"
"20","<A22>","0"
"21","<A23>","0"
"22","<A24>","0"
"23","<A31>","10"
"24","<A32>","2.5"
"25","<A33>","0"
"26","<A34>","0"
"27","<A42>","2.5"
"28","<A44>","0"
"29","<B11>","31"
"30","<B12>","8.88"
"31","<B13>","9"
"32","<B14>","2.4"
"33","<B21>","0"
"34","<B22>",""
"35","<B23>","0"
"36","<B24>",""
"37","<B31>","31"
"38","<B32>",""
"39","<B33>","9"
"40","<B34>",""
"41","<B52>","8.88"
"42","<B54>","2.4"
"43","<x52>","11.55"
"44","<x54>","2.57"
